"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5749.86032404821","6905.13923477473","8548.92585800367","10102.7313092917","10989.1877976574","12066.9111616607","12535.1699882767","13238.1543554728","14418.8775177629","14478.8606145112","14553.3643388494","15634.8741954359","16899.6333638863","16908.4025210934","18246.6489115841","17924.0408215993","16885.6324743136","18110.414776944","19434.092198007","16125.484864238","20470.098185064","19313.219923735","23115.1713659951","21280.9998817175","19741.3072345448","19941.2052915238","21069.5656413006","22110.2117966365","23126.7345050879","24171.2111482763","24116.7214990702","24582.150890747","25017.4782230788","","","",
"Africa Eastern and Southern","AFE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","505.298343092087","461.800254946259","485.826215893752","439.51824863129","352.295985908651","378.529796579984","453.071890904151","477.090115512848","485.502384490243","521.514394312155","541.60341023044","544.494373978116","562.807997308491","557.558033267948","615.783348389071","604.916608451755","624.425946532497","572.44723623246","553.037266831354","580.607760925929","502.962929980713","495.400360924668","650.480180587858","788.558837444779","884.590806729093","944.690309930472","1009.73907387504","986.730938377558","1071.45686524928","1224.77901510026","1330.10256584462","1320.73752739167","1308.94767426632","1323.57751617678","1240.88528504471","1165.03554378595","1272.33307755282","1277.65360332364","1251.0339133295","1091.73366483784","",
"Afghanistan","AFG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","148.474259181464","151.366613073997","128.655028291385","135.436866063593","163.860996893569","174.794809177342","184.731732979126","210.002145575066","231.688321267077","257.101228389106","252.611088234193","246.058228415679","","","","","","","","","","","","","","","","","","","","","","","","","","","","397.960105802449","496.136593256839","540.219077928046","585.019057886336","573.295131838047","564.265697643964","516.946743414225","478.760608051973","486.002481092258","452.492071838524","463.963848988363","475.745935332821","",
"Africa Western and Central","AFW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","194.263234537112","136.924060460988","162.47790152426","193.319979322883","243.527725523974","291.904177613745","351.43852105357","351.186175066593","380.898896526857","395.713446325092","516.668685413388","1111.72704002595","975.010134363982","688.694869561303","539.331354593489","529.454543048127","491.516355752203","475.396977949647","470.267811274904","392.79629784379","445.181745956742","440.03696445765","426.146379457981","339.404712695389","290.322346998548","355.839806088935","380.678743964018","381.431840207157","397.401659684136","412.623569706598","369.037802448478","405.413081118925","482.521207209613","535.167554692174","629.65262660014","730.611319718984","963.070667402913","1092.0028246989","1279.74174338167","1169.48533055674","1273.19079391868","1358.38434480834","1472.44046469079","1661.20569650086","1748.67808710596","1592.364184436","1413.88816715373","1326.3494179495","1370.92307194215","1448.56612112358","1388.98250195471","",
"Angola","AGO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","535.13388335045","551.834882476127","470.19214730467","446.781461343104","650.121381599164","552.817957890464","","","","-7.12721804079207","183.001970928359","182.213086260536","259.959068214174","268.171046120993","163.044118780571","208.228159510089","266.55646402966","567.14212766657","671.57881225686","694.098742636396","949.386433931658","1292.31378510221","1435.51701573185","1366.1733631593","1821.95518176801","1819.6416573262","2382.67660749129","2844.52020626953","3174.61098426932","3608.5227204609","3226.8962049721","2717.86595896983","2975.50683643825","2082.77973489398","1766.83336109427","1122.73167126855","",
"Albania","ALB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","461.364350789777","458.384180585153","548.197185568221","514.333061465395","499.628302002077","525.412003867478","471.924594300027","247.39882269751","135.446479084483","315.435224694922","507.866474452664","667.234668346412","912.553625546199","640.66708149622","747.63547097199","947.639233164928","1037.54353717206","1184.24677297656","1305.14157606825","1695.27993009643","2166.21478001374","2431.68906257938","2736.1307942699","3228.26435000204","3833.99936348825","3511.50581772484","3494.65383188106","3727.8048461463","3502.96390050893","3761.53849342266","3845.4828901971","3267.25802694689","3443.20314203152","3713.29725831986","4319.04258199203","4337.48126877283","4207.41202227462","",
"Andorra","AND","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1346.80648502053","1476.54170615346","1483.43060786583","1373.63632366208","1335.03504642644","1289.78756173681","1264.65061251207","1273.87935460893","1252.08262816485","1245.00549268328","1676.90729784897","1611.15916697854","1749.76153617687","1714.39568019751","1698.79933241813","1830.0636686046","1939.58220945176","2069.89971233824","2013.81571085738","2156.92322655313","2316.48334591837","2273.08075354811","2258.06428950795","2393.66269905098","2750.26274814874","3177.69064023387","3721.49887352026","4312.05472647585","5193.44572317562","4660.76094478757","5265.51398077357","5357.72581265112","5796.47289192313","5874.07640339911","5908.38811839695","5243.22717772783","5116.08302152595","5060.82800364276","5381.70781181026","5413.30905025388","4855.56774735833","",
"United Arab Emirates","ARE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30318.432886087","28939.7654419597","28274.3694680503","29499.4707606364","32296.3040886285","33411.6352696099","35942.2297993348","36619.4909064029","37336.9804242508","27357.5764067049","30538.0188393027","34571.1048156107","36065.9044512786","37965.1546851741","39330.6752569029","35658.3945236997","35477.0737022586","37703.4081477729","40079.0533369135","38892.4813259798","33375.7987543476","",
"Argentina","ARG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1194.69540166639","1301.34243138088","1294.76239406434","1965.55980041087","2640.76641922245","1889.36925338599","1781.86059065404","1941.38364167489","1944.86235766022","2225.61601767912","2406.75077461241","2397.44398735939","2476.85759978885","3026.78735860226","2267.20180520647","2489.38618660058","3177.30591820623","3107.0011230932","3495.53864119035","1925.15043717774","3694.20584200792","5039.45070652373","6081.24471358202","6193.681544033","6589.60501000664","6385.63590252579","6707.07252286022","7086.88044272839","7131.87431785161","6551.08925501254","6446.83667800391","5998.55498137068","1986.37308258272","2667.51621106838","3166.89428989995","3782.17898967946","4871.48394156296","6098.12902597785","7579.81024975475","6849.8250095732","8617.63499586513","10692.7791507287","10830.6871033426","10849.9562885851","10232.1330224165","11708.2536882274","10798.2570828491","12494.0937991538","9812.44828855484","8271.26509544822","7188.7014064886","",
